File,Phrase,Category,Severity,Count
toxic_sentence.csv,bang,general_toxicity,1,1
toxic_sentence.csv,pissed,general_toxicity,1,1
toxic_sentence.csv,rat,general_toxicity,1,1
toxic_sentence.csv,trans,sexual_identity,1,1
toxic_sentence.csv,transgender,sexual_identity,1,1
toxic_sentence.csv,poo,general_slang,1,1
toxic_sentence.csv,poop,general_slang,1,1
toxic_sentence.csv,corrupted,general_toxicity,1,1
toxic_sentence.csv,breasts,general_toxicity,1,1
toxic_sentence.csv,punch,general_toxicity,1,1
toxic_sentence.csv,putrid,general_toxicity,1,1
toxic_sentence.csv,absurdity,general_toxicity,1,1
toxic_sentence.csv,sacks,general_toxicity,1,1
toxic_sentence.csv,cowardly,harassment,1,1
toxic_sentence.csv,cox,sexual_reference,1,1
toxic_sentence.csv,adolf,extremist_ref,1,1
toxic_sentence.csv,shooter,general_toxicity,1,1
toxic_sentence.csv,vagina,sexual_identity,1,1
toxic_sentence.csv,fing,general_toxicity,1,1
toxic_sentence.csv,aggressive,general_toxicity,1,1
toxic_sentence.csv,silly,general_toxicity,1,1
toxic_sentence.csv,cheating,general_toxicity,1,1
toxic_sentence.csv,steal,general_toxicity,1,1
toxic_sentence.csv,deluded,general_toxicity,1,1
toxic_sentence.csv,cursed,general_toxicity,1,1
toxic_sentence.csv,lmao,general_toxicity,1,1
toxic_sentence.csv,wtf,general_toxicity,1,1
toxic_sentence.csv,lust,sexual_toxicity,1,1
toxic_sentence.csv,childlike,general_toxicity,1,1
